Country,Capital,Continent,Population,Area
Haiti,Port-au-Prince,North America,11584996,27750
Jordan,Amman,Asia,11285869,89342
Dominican Republic,Santo Domingo,North America,11228821,48671
Cuba,Havana,North America,11212191,109884
South Sudan,Juba,Africa,10913164,619745
Sweden,Stockholm,Europe,10549347,450295
Czech Republic,Prague,Europe,10493986,78865
Honduras,Tegucigalpa,North America,10432860,112492
Greece,Athens,Europe,10384971,131990
Azerbaijan,Baku,Asia,10358074,86600
Portugal,Lisbon,Europe,10270865,92090
Papua New Guinea,Port Moresby,Oceania,10142619,462840
Hungary,Budapest,Europe,9967308,93028
Tajikistan,Dushanbe,Asia,9952787,143100
Belarus,Minsk,Europe,9534954,207600
United Arab Emirates,Abu Dhabi,Asia,9441129,83600
Israel,Jerusalem,Asia,9038309,20770
Austria,Vienna,Europe,8939617,83871
Togo,Lomé,Africa,8848699,56785
Switzerland,Bern,Europe,8740472,41284
Sierra Leone,Freetown,Africa,8605718,71740
Laos,Vientiane,Asia,7529475,236800
Hong Kong,Hong Kong,Asia,7488865,1104
Serbia,Belgrade,Europe,7221365,88361
Nicaragua,Managua,North America,6948392,130373
Libya,Tripoli,Africa,6812341,1759540
Bulgaria,Sofia,Europe,6781953,110879
Paraguay,Asunción,South America,6780744,406752
Kyrgyzstan,Bishkek,Asia,6630623,199951
Turkmenistan,Ashgabat,Asia,6430770,488100
El Salvador,San Salvador,North America,6336392,21041
Singapore,Singapore,Asia,5975689,710
Republic of the Congo,Brazzaville,Africa,5970424,342000
Denmark,Copenhagen,Europe,5882261,43094
Slovakia,Bratislava,Europe,5643453,49037
Central African Republic,Bangui,Africa,5579144,622984
Finland,Helsinki,Europe,5540745,338424
Lebanon,Beirut,Asia,5489739,10452
Norway,Oslo,Europe,5434319,323802
Liberia,Monrovia,Africa,5302681,111369
Palestine,Ramallah,Asia,5250072,6220
New Zealand,Wellington,Oceania,5185288,270467
Costa Rica,San José,North America,5180829,51100
Ireland,Dublin,Europe,5023109,70273
Mauritania,Nouakchott,Africa,4736139,1030700
Oman,Muscat,Asia,4576298,309500
Panama,Panama City,North America,4408581,75417
Kuwait,Kuwait City,Asia,4268873,17818
Croatia,Zagreb,Europe,4030358,56594
Georgia,Tbilisi,Asia,3744385,69700
Eritrea,Asmara,Africa,3684032,117600
Uruguay,Montevideo,South America,3422794,181034
Mongolia,Ulaanbaatar,Asia,3398366,1564110
Moldova,Chisinau,Europe,3272996,33846
Puerto Rico,San Juan,North America,3252407,8870
Bosnia and Herzegovina,Sarajevo,Europe,3233526,51209
Albania,Tirana,Europe,2842321,28748
Jamaica,Kingston,North America,2827377,10991
Armenia,Yerevan,Asia,2780469,29743
Lithuania,Vilnius,Europe,2750055,65300
Gambia,Banjul,Africa,2705992,10689
Qatar,Doha,Asia,2695122,11586
Botswana,Gaborone,Africa,2630296,582000
Namibia,Windhoek,Africa,2567012,825615
Gabon,Libreville,Africa,2388992,267668
Lesotho,Maseru,Africa,2305825,30355
Slovenia,Ljubljana,Europe,2119844,20273
Guinea-Bissau,Bissau,Africa,2105566,36125
North Macedonia,Skopje,Europe,2093599,25713
Latvia,Riga,Europe,1850651,64559
Equatorial Guinea,Malabo,Africa,1674908,28051
Trinidad and Tobago,Port-of-Spain,North America,1531044,5130
Bahrain,Manama,Asia,1472233,765
Timor-Leste,Dili,Asia,1341296,14874
Estonia,Tallinn,Europe,1326062,45227
Mauritius,Port Louis,Africa,1299469,2040
Cyprus,Nicosia,Europe,1251488,9251
Eswatini,Mbabane,Africa,1201670,17364
Djibouti,Djibouti,Africa,1120849,23200
Reunion,Saint-Denis,Africa,974052,2511
Fiji,Suva,Oceania,929766,18272
Comoros,Moroni,Africa,836774,1862
Guyana,Georgetown,South America,808726,214969
Bhutan,Thimphu,Asia,782455,38394
Solomon Islands,Honiara,Oceania,724273,28896
Macau,Concelho de Macau,Asia,695168,30
Luxembourg,Luxembourg,Europe,647599,2586
Montenegro,Podgorica,Europe,627082,13812
Suriname,Paramaribo,South America,618040,163820
Cape Verde,Praia,Africa,593149,4033
Western Sahara,El Aaiún,Africa,575986,266000
Malta,Valletta,Europe,533286,316
Maldives,Malé,Asia,523787,300
Brunei,Bandar Seri Begawan,Asia,449002,5765
Bahamas,Nassau,North America,409984,13943
Belize,Belmopan,North America,405272,22966
Guadeloupe,Basse-Terre,North America,395752,1628
Iceland,Reykjavík,Europe,372899,103000
Martinique,Fort-de-France,North America,367507,1128
Vanuatu,Port-Vila,Oceania,326740,12189
Mayotte,Mamoudzou,Africa,326101,374
French Polynesia,Papeete,Oceania,306279,4167
French Guiana,Cayenne,South America,304557,83534
New Caledonia,Nouméa,Oceania,289950,18575
Barbados,Bridgetown,North America,281635,430
Sao Tome and Principe,São Tomé,Africa,227380,964
Samoa,Apia,Oceania,222382,2842
Curacao,Willemstad,North America,191163,444
Saint Lucia,Castries,North America,179857,616
Guam,Hagåtña,Oceania,171774,549
Kiribati,Tarawa,Oceania,131232,811
Grenada,Saint George's,North America,125438,344
Micronesia,Palikir,Oceania,114164,702
Jersey,Saint Helier,Europe,110778,116
Seychelles,Victoria,Africa,107118,452
Tonga,Nuku‘alofa,Oceania,106858,747
Aruba,Oranjestad,North America,106445,180
Saint Vincent and the Grenadines,Kingstown,North America,103948,389
United States Virgin Islands,Charlotte Amalie,North America,99465,347
Antigua and Barbuda,Saint John’s,North America,93763,442
Isle of Man,Douglas,Europe,84519,572
Andorra,Andorra la Vella,Europe,79824,468
Dominica,Roseau,North America,72737,751
Cayman Islands,George Town,North America,68706,264
Bermuda,Hamilton,North America,64184,54
Guernsey,Saint Peter Port,Europe,63301,78
Greenland,Nuuk,North America,56466,2166086
Faroe Islands,Tórshavn,Europe,53090,1393
Northern Mariana Islands,Saipan,Oceania,49551,464
Saint Kitts and Nevis,Basseterre,North America,47657,261
Turks and Caicos Islands,Cockburn Town,North America,45703,948
American Samoa,Pago Pago,Oceania,44273,199
Sint Maarten,Philipsburg,North America,44175,34
Marshall Islands,Majuro,Oceania,41569,181
Liechtenstein,Vaduz,Europe,39327,160
Monaco,Monaco,Europe,36469,2
San Marino,San Marino,Europe,33660,61
Gibraltar,Gibraltar,Europe,32649,6
Saint Martin,Marigot,North America,31791,53
British Virgin Islands,Road Town,North America,31305,151
Palau,Ngerulmud,Oceania,18055,459
Cook Islands,Avarua,Oceania,17011,236
Anguilla,The Valley,North America,15857,91
Nauru,Yaren,Oceania,12668,21
Wallis and Futuna,Mata-Utu,Oceania,11572,142
Tuvalu,Funafuti,Oceania,11312,26
Saint Barthelemy,Gustavia,North America,10967,21
Saint Pierre and Miquelon,Saint-Pierre,North America,5862,242
Montserrat,Brades,North America,4390,102
Falkland Islands,Stanley,South America,3780,12173
Niue,Alofi,Oceania,1934,260
Tokelau,Nukunonu,Oceania,1871,12
Vatican City,Vatican City,Europe,510,1
